pregunta,respuesta
"¿Qué es TaskFlow?","TaskFlow es una plataforma SaaS de gestión de proyectos que permite a equipos organizar tareas, colaborar en tiempo real y automatizar flujos de trabajo desde cualquier navegador."
"¿Qué planes de precios ofrece TaskFlow?","TaskFlow ofrece tres planes: Free (hasta 3 usuarios, funciones básicas, sin costo), Pro (9.99 USD por usuario al mes, incluye automatizaciones e integraciones), y Enterprise (precio personalizado, incluye soporte dedicado, SSO y auditoría avanzada)."
"¿Cómo puedo cancelar mi suscripción?","Puedes cancelar tu suscripción en cualquier momento desde Configuración > Facturación > Cancelar plan. La cancelación se hace efectiva al final del ciclo de facturación en curso y no se realizan reembolsos parciales."
"¿TaskFlow ofrece una prueba gratuita?","Sí, todos los planes pagos incluyen 14 días de prueba gratuita sin necesidad de tarjeta de crédito."
"¿Qué política de privacidad tiene TaskFlow?","TaskFlow recopila únicamente los datos necesarios para operar el servicio (nombre, correo, datos de uso). No vende información personal a terceros y permite solicitar la eliminación total de la cuenta y sus datos en cualquier momento, conforme a normativas de protección de datos."
"¿Con qué herramientas se integra TaskFlow?","TaskFlow se integra de forma nativa con Slack, Google Calendar, GitHub, Zoom y Microsoft Teams, además de contar con una API pública para integraciones personalizadas."
"¿Cómo contacto al soporte técnico?","El soporte técnico está disponible por chat en vivo dentro de la plataforma de lunes a viernes de 9:00 a 18:00, y por correo a soporte@taskflow.com con respuesta garantizada en menos de 24 horas para planes Pro y Enterprise."
"¿TaskFlow tiene aplicación móvil?","Sí, TaskFlow cuenta con aplicaciones nativas para iOS y Android que sincronizan en tiempo real con la versión web."
"¿Qué pasa si supero el límite de usuarios de mi plan?","Si superas el límite de usuarios de tu plan actual, el sistema te notificará y te sugerirá actualizar automáticamente al siguiente plan disponible; no se bloquea el acceso de forma inmediata."
"¿Los datos de TaskFlow están respaldados?","Sí, se realizan copias de seguridad automáticas cada 24 horas y los datos se almacenan encriptados tanto en tránsito como en reposo."
"¿Qué son los términos de uso de TaskFlow?","Los términos de uso establecen que el usuario es responsable del contenido que sube a la plataforma, que TaskFlow puede suspender cuentas que violen las políticas de uso aceptable, y que el servicio se ofrece 'tal cual', sujeto a actualizaciones periódicas."
"¿Puedo exportar mis datos si cancelo la cuenta?","Sí, TaskFlow permite exportar todos los datos del proyecto en formato CSV o JSON durante los 30 días posteriores a la cancelación de la cuenta."
